edad,antiguedad_anios,nivel_educacional,area,satisfaccion,renuncia
58,1.6,postgrado,TI,7.3,1
48,1.7,tecnico,Soporte,7.1,0
34,4.2,tecnico,Soporte,4.5,0
27,7.6,profesional,TI,4.6,0
40,9.0,tecnico,Recursos Humanos,3.3,0
58,0.8,postgrado,TI,2.4,0
38,3.9,postgrado,Ventas,7.2,0
42,1.0,tecnico,TI,1.8,1
30,0.2,postgrado,Ventas,9.4,1
30,6.6,profesional,Recursos Humanos,8.4,0
43,6.0,postgrado,Ventas,8.7,0
55,1.6,tecnico,TI,9.2,1
59,2.3,profesional,TI,4.7,0
43,0.2,tecnico,Recursos Humanos,8.6,1
22,8.3,postgrado,TI,2.4,1
41,9.7,tecnico,Recursos Humanos,1.2,0
21,1.4,profesional,Recursos Humanos,8.1,1
43,2.3,tecnico,TI,1.7,1
49,8.7,tecnico,Soporte,9.9,0
57,9.3,profesional,Ventas,7.1,0
21,4.2,postgrado,Soporte,7.8,0
40,0.5,profesional,Recursos Humanos,3.2,1
52,0.4,postgrado,Ventas,7.1,0
31,5.7,tecnico,Soporte,1.4,1
41,3.9,profesional,TI,8.5,0
44,0.3,profesional,Soporte,2.5,0
46,5.8,tecnico,Ventas,7.3,0
47,0.1,profesional,Ventas,3.0,1
35,7.9,profesional,Ventas,1.6,0
34,3.1,profesional,Ventas,5.3,0
22,0.4,profesional,Soporte,2.5,1
56,5.9,profesional,TI,7.6,0
26,4.0,tecnico,TI,3.1,0
40,9.7,tecnico,Ventas,4.1,1
28,5.4,profesional,TI,6.1,0
58,2.8,tecnico,Soporte,3.6,1
37,7.1,tecnico,TI,4.4,1
23,2.7,profesional,Recursos Humanos,8.3,0
44,9.0,profesional,TI,2.6,0
33,3.7,tecnico,Ventas,1.7,1
28,5.5,profesional,TI,4.0,0
45,0.5,profesional,TI,4.8,1
21,4.3,tecnico,TI,5.9,0
39,8.3,profesional,TI,4.4,0
47,8.1,profesional,Recursos Humanos,8.1,0
26,2.2,profesional,Soporte,1.4,0
27,2.3,profesional,Ventas,4.9,0
54,8.2,tecnico,Ventas,4.4,0
33,9.3,profesional,TI,6.8,0
36,1.0,tecnico,Soporte,9.7,1
55,4.5,postgrado,TI,5.6,0
59,3.4,postgrado,Recursos Humanos,9.9,0
23,8.7,profesional,Soporte,3.7,0
21,0.8,tecnico,Soporte,1.3,1
25,2.1,tecnico,Soporte,2.5,1
23,7.5,tecnico,Soporte,4.6,1
48,0.5,profesional,TI,3.8,0
37,4.9,tecnico,Recursos Humanos,1.9,1
45,4.4,profesional,Soporte,4.9,1
53,3.3,tecnico,Ventas,4.0,1
29,3.9,postgrado,Ventas,2.1,0
55,5.3,tecnico,Recursos Humanos,3.7,0
33,1.6,postgrado,Ventas,9.0,0
50,5.7,postgrado,TI,3.7,0
34,8.1,profesional,TI,7.4,0
27,7.6,profesional,Recursos Humanos,6.5,0
33,1.5,profesional,Soporte,4.8,1
42,1.5,profesional,Ventas,3.2,1
59,2.7,tecnico,Ventas,4.3,1
