sales_amount,units_sold,discount_pct,store_type,region
43737.76810543171,7.0,10.738740763138177,Street,Center
60590.48144229269,1.0,43.68626523030915,Mall,Center
78739.77053787457,3.0,5.230191759010021,Outlet,Center
17873.66756404998,10.0,34.70613690413803,Mall,South
486286.8268245843,5.0,,Street,Center
57006.08923396729,3.0,17.927281020413215,Street,South
61500.83797775841,9.0,1.9579030070245294,Mall,South
63230.1416761095,7.0,9.225573327990288,Outlet,South
62131.25988976923,3.0,20.806434411647455,Mall,Center
35792.527291096274,3.0,18.44506894978334,Outlet,North
48064.423489400506,4.0,12.102013774672908,Mall,North
40537.093415809555,3.0,17.924928123956725,Outlet,Center
28423.65745885535,6.0,40.88167085923954,Mall,North
59783.07418886818,4.0,13.39396544698663,Outlet,North
64774.18408236439,4.0,24.914355315244116,Street,North
32833.90394477696,5.0,37.09132591795278,Outlet,South
55802.546711539035,,,Outlet,Center
56398.77342722751,6.0,9.682154414887439,Outlet,North
81596.91915205462,,9.015341200410363,Outlet,North
47032.01704700781,9.0,5.390788847943255,Street,Center
46273.995547566825,5.0,5.370046208098593,Mall,South
75707.26840184993,4.0,17.34016490476925,Outlet,North
45896.50645575387,9.0,,Outlet,North
70212.13940054139,3.0,,Street,Center
55148.29014868058,5.0,,Mall,South
36564.87366930704,5.0,43.072754248435345,Mall,South
81773.76963607688,4.0,22.927574870531075,Mall,South
45708.53309954017,3.0,18.4344120581879,Street,South
53648.432246316515,7.0,12.955091069529932,Street,Center
40715.370981446365,8.0,15.827253642620434,Street,Center
74567.74966847754,3.0,22.129332171681664,Mall,South
49128.2058572382,9.0,10.214406639012022,Street,South
22445.895872414527,5.0,9.526086861217307,Street,Center
38322.45207420412,6.0,7.379989358608636,Street,South
62498.003444342445,5.0,16.077351672413045,Street,Center
49335.68353520733,5.0,15.611042889714952,Mall,North
58315.926958738375,2.0,14.537470937187297,Mall,South
43872.87655789464,4.0,7.239153089018608,Outlet,South
43038.58481238194,0.0,28.08429575384371,Outlet,North
56270.1341695002,5.0,36.17292217805426,Mall,South
58618.05678343259,,31.57737564695277,Outlet,Center
23799.738269258,9.0,39.72483149789723,Mall,Center
70734.33758568115,8.0,6.18294871155669,Street,North
248402.7056019421,5.0,34.58821670175816,Outlet,North
46139.57386348184,6.0,13.526968183803184,Mall,Center
35491.53374566609,6.0,20.334720123829722,Street,South
31899.963894126107,2.0,20.882892087618547,Street,South
90029.21028956756,3.0,21.699664756062994,Mall,South
12932.905328081804,5.0,5.173543360441488,Street,South
51089.246392939815,11.0,11.347863265566065,Street,North
43885.79978532228,,28.589137120362135,Mall,Center
32823.48726961469,6.0,25.173915821625453,Outlet,North
15148.559332206474,6.0,9.292635296990797,Outlet,South
51266.35126589956,4.0,19.426735393133125,Mall,South
60663.117282808176,3.0,2.942101720148626,Street,Center
62418.219232225965,6.0,10.03885383729143,Street,South
26104.60076827002,4.0,8.833384586025716,Outlet,South
42380.15151077139,,18.684956232986828,Mall,Center
88267.16379795733,11.0,13.29478135955229,Mall,North
24710.53081231296,,13.851757062217171,Street,North
42823.558050907624,4.0,24.22728224088354,Street,South
67692.35925859769,4.0,4.846086292373295,Mall,Center
49895.406157651196,5.0,12.26100315954458,Mall,South
64814.65884233675,9.0,,Mall,Center
53311.47919646205,6.0,20.69701819771135,Mall,South
49075.829428517856,5.0,8.551498727910063,Outlet,Center
34426.03675648481,6.0,34.34350802856495,Mall,South
45520.86281465029,5.0,8.760255274856387,Outlet,North
55617.38584268493,2.0,31.657861847598813,Street,North
62720.30091214404,11.0,27.311858810016908,Outlet,North
33569.06367058164,2.0,5.831180403887417,Outlet,North
43809.16540673623,1.0,13.632012886242325,Mall,Center
31576.885025560256,6.0,11.261589885020975,Mall,Center
63865.903738381036,9.0,,Outlet,Center
53489.24400697204,7.0,21.013986065496994,Outlet,Center
40325.946853365494,5.0,39.46936405743147,Mall,Center
54977.24599932131,5.0,13.22982236536939,Street,North
73697.33183793051,,29.09483400589621,Outlet,Center
72583.19964517142,4.0,10.230909203615784,Outlet,South
56916.23836518017,9.0,8.776967507779286,Mall,North
-2581.021625711015,4.0,11.77903033221538,Street,South
52671.34759414345,5.0,35.40890438246294,Street,South
49432.57794632411,,20.723490285974798,Street,Center
62467.93647415161,3.0,12.468459559597395,Street,North
42170.81505549714,3.0,15.97305902033309,Mall,South
31384.42837675541,10.0,26.168510354878276,Mall,North
53507.818790026504,7.0,,Outlet,Center
33758.76714651895,4.0,38.25517146846698,Street,North
53655.07524021296,,14.661653240421819,Street,Center
60028.776114006556,4.0,40.53192702810492,Mall,South
69454.45239509847,7.0,32.390855764386885,Mall,Center
64859.39400947366,10.0,31.946177780229824,Mall,North
78363.29608422733,6.0,29.534341580429835,Street,Center
45236.58309396804,3.0,9.448080157088551,Street,South
47461.09693546343,4.0,23.250933589548207,Street,Center
15338.453759103191,2.0,7.796683931343362,Outlet,South
41607.506956255034,6.0,12.742753311903254,Outlet,South
52956.77374928394,6.0,22.425821457213573,Mall,South
75670.56571917332,4.0,38.43729772233452,Outlet,South
53809.14080688503,1.0,48.09393787379739,Street,North
78219.94618803362,4.0,54.434394107128284,Street,Center
36343.08795175858,5.0,12.281483381888341,Mall,South
25866.195606841608,,18.033131484269433,Outlet,Center
57943.24731864784,8.0,13.848678420223656,Street,Center
43404.53794950674,0.0,25.559191030171625,Mall,North
48329.35809868585,3.0,15.583350409489169,Outlet,South
82976.6779886926,4.0,12.400144157496676,Outlet,South
330922.4202154971,7.0,4.1784197846620375,Street,North
54290.56728348956,3.0,25.6615245024174,Mall,Center
66513.38807169988,8.0,29.702719069616524,Street,North
36763.73754152592,6.0,39.80981484793254,Mall,North
32226.02527597062,4.0,53.81915345225523,Mall,North
53596.40893308664,5.0,15.549956434671344,Street,South
39336.235892616845,9.0,23.981263755600377,Mall,North
76161.54310212901,3.0,40.34206283825745,Mall,North
60153.24869761918,5.0,27.226124216820658,Outlet,Center
67225.3130794431,8.0,6.026338867613849,Outlet,South
66629.2419599471,2.0,17.268217222306344,Outlet,Center
52744.694214936375,4.0,7.80510672959497,Street,Center
44863.627758583214,5.0,10.674814276112343,Mall,South
51389.12361885115,4.0,11.224397847600674,Street,South
52587.883536634654,6.0,19.929862026974476,Mall,South
39145.9323955487,3.0,26.421986372342843,Outlet,South
53484.70363606759,4.0,19.648692405600485,Mall,South
37143.60305302971,3.0,31.425630840659814,Street,Center
68846.60353857964,2.0,58.93113181594877,Street,North
40977.00307594877,6.0,6.089525947896312,Mall,South
61940.33847246251,8.0,21.22429638909611,Mall,South
48113.75006839959,11.0,7.384068223854818,Outlet,South
45082.01885632831,3.0,23.25146090591701,Street,North
51473.90283801837,8.0,15.351280329397909,Outlet,South
54031.97428542995,8.0,18.842391882000673,Street,South
34724.15305598611,8.0,,Outlet,Center
57470.60876229511,8.0,8.27412216707021,Street,Center
57096.57515052978,4.0,5.3188778923376345,Street,North
43553.268696066014,4.0,7.356232408241772,Outlet,North
